"ActualNTE","CountryName","GeographicalCoverage","ProjectStaffFundingOfficer","ProjectStaffLTOOfficer","ProjectStaffLTUOfficer","ProjectStatus","ProjectSymbol","ProjectTitle","TotalBudgetFPMIS","staff","team"
"2015-12-31","Ghana","Country","Nyarko-Badohu, K.","Ouedraogo, E.","","Operationally Active","TCP/GHA/3403","Implementation of the preparatory phase of the Agricultural Census of Ghana","$372,000 ","Nyarko-Badohu, K.Ouedraogo, E.","Team H"
"2015-06-22","Timor-Leste, Democratic Republic of","Country","Voortman, U.; Konno, K.","Srivastava, M.","Castano, J.","Operationally Active","TCP/TIM/3502 BABY03","Initial Support to Planning of the First Agricultural Census","$61,651 ","Voortman, U.; Konno, K.Srivastava, M.Castano, J.","Team H"
"2017-08-31","Tanzania, United Republic Of","Country","Nyarko-Badohu, K.","Ouedraogo, E.","Fabi, C.","Operationally Active","TCP/URT/3505","Support to the Implementation of Agriculture Statistics Strategic Plan: Improving district level data using Small Area Estimates methods- ZANZIBAR","$123,000 ","Nyarko-Badohu, K.Ouedraogo, E.Fabi, C.","Team G"
"2017-03-07","Chad","Country","Jones, A.; Luketic, O.","","Amegbeto, K.","Operationally Active","GCP /CHD/038/EC","Appui ü¾“ ¼ la mise en place d`un Systü¾˜“ ¼me d`Information durable sur la securite alimentaire et d`alerte precoce (SISAAP)","$4,966,574 ","Jones, A.; Luketic, O.Amegbeto, K.","Team D"
"2016-02-28","Dominican Republic","Country","Jones, A.; Luketic, O.","Boero, V.","Castano, J.","Operationally Active","GCP /DOM/018/EC","Asistencia tecnica para apoyar las actividades del  VIII Censo Nacional Agropecuario de la Republica Dominicana","$635,324 ","Jones, A.; Luketic, O.Boero, V.Castano, J.","Team H"
"2016-06-30","Angola, Republic of","Country","Lo Bianco, A.","Ouedraogo, E.","","Operationally Active","UTF /ANG/057/ANG","Services d`assistance technique de la FAO pour la preparation du Recensement General de l`Agriculture et de l`Elevage (RGAE)","$116,830 ","Lo Bianco, A.Ouedraogo, E.","Team H"
"2017-12-31","Equatorial Guinea","Country","Valat, N.","Ouedraogo, E.","Ouedraogo, E.","Active Pipeline","TO BE PROVIDED","Recensement Gü¾™“ ¼nü¾™“ ¼ral de l'Agriculture (RGA)","$0 ","Valat, N.Ouedraogo, E.Ouedraogo, E.","Team H"
"2017-10-31","Tanzania, United Republic Of","Country","Mugica Martinez De Aguirre, M.","Fabi, C.","","Operationally Active","GCP /URT/145/IRE","Support to the Implementation of ASSP: Improving district level data using Small Area Estimates","$273,517 ","Mugica Martinez De Aguirre, M.Fabi, C.","NA"
